Cell,position_theta,position_z,position_theta_degrees,position_z_mm,amplitude,frequency
Glimpse1,94,1,282,65.65,0.0483575073148187,0.3595863409579627
Glimpse1,95,1,285,65.65,0.0485021539665666,0.3591631658482727
Glimpse1,96,1,288,65.65,0.0478014857444252,0.368437302216864
Glimpse1,97,1,291,65.65,0.0488893051228908,0.3591604783164912
Glimpse1,98,1,294,65.65,0.0480520464278454,0.3794483083974618
Glimpse1,99,1,297,65.65,0.048027292783898,0.362058425629884
Glimpse1,100,1,300,65.65,0.0490285483829773,0.364103408631757
Glimpse1,101,1,303,65.65,0.0479931142655622,0.3626053269512604
Glimpse1,102,1,306,65.65,0.0489359703988684,0.364170581680999
Glimpse1,103,1,309,65.65,0.0483749048193355,0.3661701315231055
Glimpse1,104,1,312,65.65,0.0473782173129341,0.3545634244665007
Glimpse1,105,1,315,65.65,0.0461861636588861,0.3658310857644377
Glimpse1,106,1,318,65.65,0.0474355204133841,0.3607796586495044
Glimpse1,107,1,321,65.65,0.0482491907750758,0.3594559466876084
Glimpse1,108,1,324,65.65,0.0486485654110587,0.3661157054115108
Glimpse1,109,1,327,65.65,0.0481656242265955,0.3580432824339465
Glimpse1,110,1,330,65.65,0.04904015328747,0.3522905564310836
Glimpse1,111,1,333,65.65,0.0464249041947698,0.3511320807377476
Glimpse1,112,1,336,65.65,0.0460321080797139,0.3565477214422295
Glimpse1,113,1,339,65.65,0.0472812666023802,0.3703820893042059
Glimpse1,114,1,342,65.65,0.0479565113271606,0.3717032350410253
Glimpse1,115,1,345,65.65,0.0493037482888451,0.3692531543965826
Glimpse1,116,1,348,65.65,0.0477905316859503,0.3971228200518219
Glimpse1,117,1,351,65.65,0.0478119757091091,0.4176146275621659
Glimpse1,118,1,354,65.65,0.0488726398185797,0.4429860155931339
Glimpse1,119,1,357,65.65,0.0509980739278554,0.4406499808285177
Glimpse1,0,2,0,62.650000000000006,0.0498438085205068,0.4232968261868247
Glimpse1,1,2,3,62.650000000000006,0.0499756039306483,0.4239067874687231
Glimpse1,2,2,6,62.650000000000006,0.0479512109566861,0.4028570942338587
Glimpse1,3,2,9,62.650000000000006,0.0494825982998761,0.3940052429441473
